date,model,measure,value
01-Apr-1976,biuc_lrexp,p84,4.47337204838242
01-Jul-1976,biuc_lrexp,p84,4.55926612546814
01-Oct-1976,biuc_lrexp,p84,4.56758429421958
01-Jan-1977,biuc_lrexp,p84,4.58586703874591
01-Apr-1977,biuc_lrexp,p84,4.68429389484732
01-Jul-1977,biuc_lrexp,p84,4.85782141458268
01-Oct-1977,biuc_lrexp,p84,4.8717970834041
01-Jan-1978,biuc_lrexp,p84,5.0318426925858
01-Apr-1978,biuc_lrexp,p84,5.32584512492832
01-Jul-1978,biuc_lrexp,p84,5.33561397954521
01-Oct-1978,biuc_lrexp,p84,5.52586267940563
01-Jan-1979,biuc_lrexp,p84,5.87673357784631
01-Apr-1979,biuc_lrexp,p84,5.91775476650942
01-Jul-1979,biuc_lrexp,p84,6.30212990937488
01-Oct-1979,biuc_lrexp,p84,6.30866356133971
01-Jan-1980,biuc_lrexp,p84,6.32712816014862
01-Apr-1980,biuc_lrexp,p84,6.31569798570813
01-Jul-1980,biuc_lrexp,p84,6.30744382925535
01-Oct-1980,biuc_lrexp,p84,6.53462073808278
01-Jan-1981,biuc_lrexp,p84,6.96784488768239
01-Apr-1981,biuc_lrexp,p84,6.77118474211998
01-Jul-1981,biuc_lrexp,p84,6.58957721554082
01-Oct-1981,biuc_lrexp,p84,6.63466745023425
01-Jan-1982,biuc_lrexp,p84,6.23037326467872
01-Apr-1982,biuc_lrexp,p84,5.92609678388518
01-Jul-1982,biuc_lrexp,p84,5.91533680143648
01-Oct-1982,biuc_lrexp,p84,5.77188550959185
01-Jan-1983,biuc_lrexp,p84,5.56072813251695
01-Apr-1983,biuc_lrexp,p84,5.71226013520785
01-Jul-1983,biuc_lrexp,p84,5.73337337530985
01-Oct-1983,biuc_lrexp,p84,5.70992794692788
01-Jan-1984,biuc_lrexp,p84,5.64501818249969
01-Apr-1984,biuc_lrexp,p84,5.56106223181088
01-Jul-1984,biuc_lrexp,p84,5.22529309988032
01-Oct-1984,biuc_lrexp,p84,4.96110998662537
01-Jan-1985,biuc_lrexp,p84,4.71443803954203
01-Apr-1985,biuc_lrexp,p84,4.76300908149351
01-Jul-1985,biuc_lrexp,p84,4.88135371858578
01-Oct-1985,biuc_lrexp,p84,4.80835108577097
01-Jan-1986,biuc_lrexp,p84,4.57791147690143
01-Apr-1986,biuc_lrexp,p84,4.52439295893209
01-Jul-1986,biuc_lrexp,p84,4.43762368318212
01-Oct-1986,biuc_lrexp,p84,4.41617529068453
01-Jan-1987,biuc_lrexp,p84,4.52238595322813
01-Apr-1987,biuc_lrexp,p84,4.52103633776957
01-Jul-1987,biuc_lrexp,p84,4.61499078852334
01-Oct-1987,biuc_lrexp,p84,4.39464751102773
01-Jan-1988,biuc_lrexp,p84,4.43023989086409
01-Apr-1988,biuc_lrexp,p84,4.30215964567112
01-Jul-1988,biuc_lrexp,p84,4.20794845241846
01-Oct-1988,biuc_lrexp,p84,4.03134909715166
01-Jan-1989,biuc_lrexp,p84,4.02536855213894
01-Apr-1989,biuc_lrexp,p84,4.0343949877094
01-Jul-1989,biuc_lrexp,p84,3.87126050511066
01-Oct-1989,biuc_lrexp,p84,3.71451240172628
01-Jan-1990,biuc_lrexp,p84,3.55414832647475
01-Apr-1990,biuc_lrexp,p84,3.64840647012817
01-Jul-1990,biuc_lrexp,p84,3.7032056761686
01-Oct-1990,biuc_lrexp,p84,3.63796644941662
01-Jan-1991,biuc_lrexp,p84,3.60282559470078
01-Apr-1991,biuc_lrexp,p84,3.58798624590477
01-Jul-1991,biuc_lrexp,p84,3.41076229706354
01-Oct-1991,biuc_lrexp,p84,3.33364993172605
01-Jan-1992,biuc_lrexp,p84,3.13271858735444
01-Apr-1992,biuc_lrexp,p84,3.21276098935523
01-Jul-1992,biuc_lrexp,p84,3.10459392461356
01-Oct-1992,biuc_lrexp,p84,3.00229430643367
01-Jan-1993,biuc_lrexp,p84,2.92060332797917
01-Apr-1993,biuc_lrexp,p84,3.00203164786387
01-Jul-1993,biuc_lrexp,p84,2.84675448465616
01-Oct-1993,biuc_lrexp,p84,2.83087278799156
01-Jan-1994,biuc_lrexp,p84,2.80747121888354
01-Apr-1994,biuc_lrexp,p84,2.82366724897312
01-Jul-1994,biuc_lrexp,p84,2.81289631467141
01-Oct-1994,biuc_lrexp,p84,2.78699000997979
01-Jan-1995,biuc_lrexp,p84,2.67480690625761
01-Apr-1995,biuc_lrexp,p84,2.67664432492171
01-Jul-1995,biuc_lrexp,p84,2.57753405276478
01-Oct-1995,biuc_lrexp,p84,2.46768494438761
01-Jan-1996,biuc_lrexp,p84,2.44914492207149
01-Apr-1996,biuc_lrexp,p84,2.43869677322288
01-Jul-1996,biuc_lrexp,p84,2.42232841853282
01-Oct-1996,biuc_lrexp,p84,2.41347572930851
01-Jan-1997,biuc_lrexp,p84,2.39501944672748
01-Apr-1997,biuc_lrexp,p84,2.31487558798297
